title,lng,lat
Miracle Valley,-84.951171,34.762668
府中橋公園,139.915395,35.734773
金谿橋沿革碑,120.725791,24.234125
Kingdom Hall Of Jehovah's Witnesses,-83.362247,42.426644
Klätterställning,14.797809,56.845959
Katz- und Mausbank,12.254711,51.167053
Wooden Carving,-4.906537,50.295531
Til Minde om en Glædesdag,9.930185,56.299257
Plow Sculpture,-104.870283,39.561946
S. Gonçalo de Lagos,-8.668507,37.098059
Wallace Myers memorial,-80.848167,40.910175
Dick's Drive in Lake City,-122.296808,47.718216
木上簡易郵便局,131.566199,33.184205
EFSC Veterans Memorial,-80.758522,28.384443
Montdidier - Terrain Multisports,2.584599,49.653825
Taixingyan Trail,120.635264,23.536435
中央公園,141.123971,39.691949
Sculpture Vulvaire,5.752284,45.433245
A Perfect Game,-122.388979,37.777719
Monument Aux Morts,2.62852,47.684864
Taureau Dans La Façade,4.361397,43.838288
忠魂碑,135.485757,34.655577
稲荷社,139.337258,35.606453
De PI van Wasbeek,4.517536,52.217954
Gran,5.719182,58.927783
種子活動紀念碑,121.73514,25.09023
大泉緑地公園 かきつばた園,135.530141,34.566584
Ayllu de Larache,-68.203079,-22.91373
Kingston Road Recreation Ground,-0.331622,51.30722
地域活動拠点ふらっと住吉,139.553235,35.74769
Fuente Parque Reina Sofia,-0.651829,38.089254
お地蔵様,135.779696,34.705869
찰리 브라운의 야구장,126.779587,33.444742
Boite à livres - Espace Jean Chauvin,-0.551137,44.806748
UEA Campus Map 2,1.24168,52.622663
モアイとアリの巣,139.609633,35.915013
Quail Box,-119.39976,49.941368
船橋芝山郵便局,140.02006,35.716445
BC Parkway - Taylor Park Southeast,-122.958717,49.205001
Graffiti Base,17.629966,59.178609
Rowlett Creek Preserve Gazebo,-96.595476,32.920217
Pejelagarto Caribeño,-68.936101,-22.468889
石ベンチのある東屋,138.590012,35.645506
Glen Huntly Anchor,145.044694,-37.889571
Valley Sentier Fredericton Trail Marker,-66.65826,45.964726
備前市吉永町案内板,134.220084,34.731254
Jesus Was A Resistant !,6.2906,48.94587
Wesley United Methodist Church,-157.787436,21.280569
立法寺,130.866814,33.889647
山梨市役所,138.686638,35.693042
