title,lng,lat
谷田部東PA(上り)四阿,140.138841,36.038559
四變電箱,121.041789,24.799972
Halfpipe Egeldonk,4.96811,52.326344
洋菓子屋の黒い木のオブジェ,139.469293,35.347055
Señores Copihues,-70.720016,-33.477294
ちっちゃい公園,139.725564,35.757992
Street Art,5.716143,45.144536
Pioneer Corner Museum,-113.28798,37.175208
駅東第４公園の遊具,140.571398,36.465307
Postfiliale Karlstraße,10.538147,52.272694
Ganymed,8.541194,47.366073
生きのイイ魚,139.435576,35.490625
Hucknall Road Post Office,-1.159496,52.985912
木彫りの森の妖精,139.348759,35.714531
하나 교회 / One Church,128.693569,35.185691
Indian Drummer,-113.289709,37.175562
De Ster Kralingse Bos,4.521266,51.93157
Lucky Fountain Rotterdam,4.484951,51.930676
Sunriver Clock Tower,-121.435882,43.87318
電話ボックスのオブジェ,139.595731,35.297212
Велика альтанка на Сенегалі,34.580496,49.526146
都営地下鉄千石駅,139.7448,35.727814
